Date,Close/Last,Volume,Open,High,Low
11/22/2024,$176.95,11328620,$174.34,$178.864,$173.50
11/21/2024,$171.73,6847695,$168.59,$172.455,$166.92
11/20/2024,$167.76,7135608,$166.91,$167.91,$165.65
11/19/2024,$166.57,5245994,$165.27,$167.10,$163.81
11/18/2024,$166.28,8341413,$165.62,$166.74,$164.80
11/15/2024,$164.99,11265400,$169.63,$169.63,$164.72
11/14/2024,$169.63,8442546,$170.00,$171.62,$168.59
11/13/2024,$170.35,8483499,$171.67,$172.64,$169.65
11/12/2024,$171.09,10556980,$176.01,$176.63,$171.03
11/11/2024,$174.43,20760250,$178.57,$178.57,$172.7001
11/08/2024,$199.50,4596949,$201.155,$201.8939,$199.48
11/07/2024,$200.51,4520190,$201.95,$202.315,$199.215
11/06/2024,$201.20,7194757,$205.79,$206.15,$200.85
11/05/2024,$201.68,5109348,$200.49,$202.42,$198.35
11/04/2024,$200.47,3531804,$203.79,$204.24,$200.22
11/01/2024,$203.55,4493880,$204.37,$204.73,$202.32
10/31/2024,$203.87,8829278,$201.97,$207.32,$201.42
10/30/2024,$201.50,10396360,$191.62,$202.3499,$188.545
10/29/2024,$189.45,6131530,$190.49,$191.16,$188.515
10/28/2024,$189.68,5383733,$188.09,$190.14,$187.52
10/25/2024,$187.85,4017525,$189.68,$189.88,$187.17
10/24/2024,$189.65,6742024,$188.43,$190.47,$188.17
10/23/2024,$187.88,4267078,$188.70,$189.27,$187.50
10/22/2024,$188.76,4210359,$186.32,$189.10,$186.23
10/21/2024,$186.54,4496592,$188.71,$189.38,$185.89
10/18/2024,$188.86,5607902,$188.97,$189.69,$188.164
10/17/2024,$188.57,4419002,$190.54,$191.62,$188.46
10/16/2024,$190.46,5575983,$190.45,$191.035,$188.73
10/15/2024,$191.86,6553712,$194.73,$196.25,$191.215
10/14/2024,$195.65,3624123,$194.24,$196.34,$193.662
10/11/2024,$194.19,2973025,$195.00,$195.2362,$193.58
10/10/2024,$194.35,3562476,$194.54,$194.82,$193.275
10/09/2024,$194.75,4479107,$192.85,$194.885,$191.95
10/08/2024,$193.01,4419016,$194.34,$195.00,$192.245
10/07/2024,$193.61,5033832,$194.415,$195.0918,$192.835
10/04/2024,$194.29,4749856,$195.10,$195.64,$193.045
10/03/2024,$195.45,3453796,$196.87,$197.05,$194.74
10/02/2024,$196.82,2946883,$195.66,$197.00,$194.45
10/01/2024,$196.96,3924607,$197.65,$198.97,$196.42
09/30/2024,$197.48,4550849,$194.85,$197.62,$194.3669
09/27/2024,$194.79,4892025,$192.60,$196.13,$190.27
09/26/2024,$191.90,6215788,$190.10,$192.87,$189.615
09/25/2024,$191.26,5589494,$194.00,$194.57,$190.96
09/24/2024,$193.51,4286499,$192.95,$195.21,$191.5872
09/23/2024,$193.83,3177996,$193.70,$194.30,$192.20
09/20/2024,$193.47,11661190,$193.00,$193.821,$192.13
09/19/2024,$193.62,3929288,$193.425,$194.16,$191.96
09/18/2024,$192.94,3236829,$193.13,$195.58,$191.7776
09/17/2024,$193.45,3534110,$194.80,$196.075,$191.82
09/16/2024,$195.73,3235706,$195.82,$196.16,$194.46
09/13/2024,$194.21,2718268,$193.86,$194.59,$191.81
09/12/2024,$194.02,4165394,$194.78,$195.07,$191.27
09/11/2024,$194.59,4909292,$197.68,$197.68,$193.418
09/10/2024,$199.35,6333281,$196.12,$199.47,$192.91
09/09/2024,$196.42,3606983,$194.97,$196.61,$193.94
09/06/2024,$193.40,4312632,$193.47,$194.74,$192.83
09/05/2024,$192.86,5902786,$196.96,$197.13,$192.16
09/04/2024,$197.01,4214441,$198.68,$199.88,$196.44
09/03/2024,$197.69,4872587,$196.14,$199.95,$196.095
08/30/2024,$196.31,3820802,$195.25,$196.50,$194.17
08/29/2024,$195.18,4538372,$196.00,$196.44,$193.85
08/28/2024,$195.40,3910215,$195.52,$196.23,$194.03
08/27/2024,$195.92,2504553,$197.99,$198.30,$195.18
08/26/2024,$197.44,4182425,$197.56,$197.9699,$196.07
08/23/2024,$197.55,4720300,$197.25,$197.98,$196.2271
08/22/2024,$196.37,3676719,$197.005,$197.54,$195.35
08/21/2024,$196.53,4250492,$196.44,$197.335,$195.67
08/20/2024,$196.15,3631797,$197.12,$197.48,$194.13
08/19/2024,$196.87,4309277,$193.40,$197.18,$193.35
08/16/2024,$193.90,3675149,$193.88,$194.25,$192.27
08/15/2024,$193.40,4719856,$194.49,$194.99,$191.29
08/14/2024,$193.00,4153610,$191.00,$193.35,$190.47
08/13/2024,$191.23,3477320,$190.56,$191.94,$189.377
08/12/2024,$190.18,4808434,$190.08,$190.57,$187.70
08/09/2024,$189.93,3206539,$190.78,$191.01,$188.10
08/08/2024,$190.40,5744889,$186.92,$190.71,$186.92
08/07/2024,$187.51,6351130,$187.90,$189.59,$185.9775
08/06/2024,$185.71,4273301,$185.43,$187.82,$183.08
08/05/2024,$184.36,6459296,$187.45,$189.29,$183.04
08/02/2024,$189.29,6303909,$190.98,$193.91,$186.46
08/01/2024,$189.71,6595545,$187.77,$190.9699,$186.77
07/31/2024,$185.32,6473948,$186.386,$187.50,$183.45
07/30/2024,$186.78,6032165,$183.59,$187.71,$182.60
07/29/2024,$181.94,5458460,$184.04,$186.13,$180.53
07/26/2024,$185.16,6948832,$183.45,$186.85,$182.11
07/25/2024,$182.17,9442179,$177.00,$186.11,$171.802
07/24/2024,$176.21,6117697,$173.20,$176.60,$172.95
07/23/2024,$173.15,2933782,$173.32,$174.59,$172.77
07/22/2024,$173.61,4066954,$173.32,$174.7299,$172.00
07/19/2024,$172.32,4293624,$173.67,$173.845,$171.22
07/18/2024,$171.14,5957924,$174.445,$176.68,$170.72
07/17/2024,$175.27,6983160,$169.51,$175.74,$169.51
07/16/2024,$169.20,3829646,$168.60,$169.85,$167.26
07/15/2024,$168.03,2395181,$168.91,$170.365,$167.42
07/12/2024,$170.28,4133520,$170.63,$171.625,$169.90
07/11/2024,$169.91,3689530,$167.52,$170.35,$167.35
07/10/2024,$168.14,3887959,$167.45,$168.45,$166.1101
07/09/2024,$168.05,4224705,$167.02,$168.53,$164.86
07/08/2024,$166.52,3500155,$166.54,$167.717,$165.62
07/05/2024,$167.25,5978524,$164.72,$167.31,$163.63
07/03/2024,$163.84,3527612,$166.09,$167.10,$163.52
07/02/2024,$165.96,5965457,$168.63,$168.63,$165.45
07/01/2024,$170.37,5194744,$171.27,$173.88,$169.535
06/28/2024,$171.52,24463600,$169.99,$171.82,$169.05
06/27/2024,$168.99,5381953,$171.29,$171.555,$167.75
06/26/2024,$171.15,5576094,$170.29,$172.35,$170.15
06/25/2024,$170.75,5712698,$172.10,$173.41,$170.62
06/24/2024,$172.74,6249937,$171.13,$173.41,$170.70
06/21/2024,$170.39,12308050,$172.70,$172.93,$169.59
06/20/2024,$172.13,5847461,$171.18,$172.81,$170.02
06/18/2024,$171.36,4250883,$170.44,$173.01,$169.87
06/17/2024,$169.68,4075952,$168.40,$170.40,$167.36
06/14/2024,$168.59,4377638,$166.47,$169.24,$166.00
06/13/2024,$166.56,3690807,$166.00,$166.90,$165.00
06/12/2024,$166.09,4725634,$167.875,$168.535,$165.03
06/11/2024,$167.70,3790165,$170.25,$170.64,$167.42
06/10/2024,$170.46,4247645,$169.00,$170.75,$167.69
06/07/2024,$169.42,3781858,$169.00,$170.34,$167.79
06/06/2024,$168.57,5186713,$165.49,$168.88,$164.35
06/05/2024,$165.44,5100491,$162.90,$165.98,$162.16
06/04/2024,$162.14,4215545,$160.19,$162.81,$159.77
06/03/2024,$160.19,4467810,$160.00,$163.19,$158.83
05/31/2024,$161.24,15664430,$156.65,$161.64,$156.20
05/30/2024,$156.31,4311479,$154.65,$156.43,$153.58
05/29/2024,$154.79,4254540,$154.89,$156.38,$153.68
05/28/2024,$155.34,5533467,$156.35,$156.35,$153.949
05/24/2024,$157.06,3691730,$158.36,$158.78,$156.36
05/23/2024,$158.26,5672891,$159.03,$160.04,$157.76
05/22/2024,$159.61,6904915,$161.57,$161.94,$159.18
05/21/2024,$162.93,3645239,$165.37,$165.705,$162.50
05/20/2024,$164.56,3058702,$166.01,$166.42,$164.41
05/17/2024,$166.42,5152176,$165.39,$166.49,$164.49
05/16/2024,$164.35,4642038,$163.45,$164.93,$162.18
05/15/2024,$163.79,5261263,$162.31,$164.42,$161.87
05/14/2024,$161.59,4025032,$161.65,$162.25,$159.715
05/13/2024,$161.28,3505882,$161.28,$162.57,$160.80
05/10/2024,$160.75,3509603,$160.71,$161.4399,$160.35
05/09/2024,$160.40,3570072,$160.805,$161.32,$160.02
05/08/2024,$160.45,5906701,$162.14,$162.90,$159.87
05/07/2024,$162.55,5301668,$163.36,$163.99,$161.89
05/06/2024,$162.73,5834562,$164.41,$164.6346,$161.00
05/03/2024,$163.79,5850102,$161.16,$164.25,$160.74
05/02/2024,$160.81,5904251,$162.17,$162.44,$158.12
05/01/2024,$161.72,5178876,$162.09,$163.6923,$161.14
04/30/2024,$162.64,5484841,$161.27,$163.05,$159.69
04/29/2024,$161.52,6226196,$159.59,$161.55,$158.56
04/26/2024,$159.62,10721740,$167.09,$167.46,$157.65
04/25/2024,$167.29,5503656,$167.66,$169.29,$165.57
04/24/2024,$167.80,4074765,$168.52,$169.11,$166.74
04/23/2024,$169.54,4084105,$168.59,$170.365,$168.22
04/22/2024,$167.89,5580685,$167.68,$169.59,$166.92
04/19/2024,$166.41,5532492,$165.02,$166.60,$163.25
04/18/2024,$164.66,4480224,$164.96,$167.44,$164.43
04/17/2024,$164.25,4792382,$164.15,$164.74,$163.23
04/16/2024,$162.54,4881516,$162.18,$163.74,$162.0772
04/15/2024,$161.67,5433730,$164.52,$164.70,$161.50
04/12/2024,$162.28,7029475,$164.45,$164.45,$160.00
04/11/2024,$167.52,3307034,$169.20,$169.37,$167.227
04/10/2024,$169.03,3231664,$168.59,$169.96,$167.36
04/09/2024,$170.14,5933987,$169.73,$170.545,$167.395
04/08/2024,$169.80,4744996,$169.21,$171.97,$168.40
04/05/2024,$170.00,7030108,$168.00,$171.04,$167.29
04/04/2024,$167.90,10538990,$177.65,$177.70,$167.45
04/03/2024,$177.33,5892990,$180.72,$181.60,$176.60
04/02/2024,$180.69,4523931,$179.39,$181.03,$178.51
04/01/2024,$180.76,3502141,$181.88,$181.90,$179.24
03/28/2024,$182.10,5418687,$181.00,$182.30,$180.30
03/27/2024,$180.35,5073508,$179.80,$180.58,$178.81
03/26/2024,$179.19,4392427,$179.23,$179.77,$178.38
03/25/2024,$178.53,4366502,$179.00,$179.20,$178.125
03/22/2024,$178.45,4084352,$177.23,$178.99,$176.78
03/21/2024,$177.50,5743564,$176.81,$177.74,$175.875
03/20/2024,$176.27,7326558,$179.22,$179.23,$175.73
03/19/2024,$179.66,7625613,$178.19,$179.93,$178.19
03/18/2024,$178.49,8569244,$179.01,$179.88,$177.565
03/15/2024,$177.88,20957950,$179.84,$180.58,$177.54
03/14/2024,$181.20,6999445,$180.155,$182.04,$178.66
03/13/2024,$179.86,5987932,$182.50,$182.51,$179.42
03/12/2024,$180.92,5391070,$179.72,$182.89,$179.69
03/11/2024,$179.63,5134817,$178.41,$181.26,$178.24
03/08/2024,$178.85,6195824,$179.74,$182.14,$178.68
03/07/2024,$180.57,6125187,$182.19,$182.42,$179.54
03/06/2024,$181.06,6047148,$178.40,$182.16,$178.10
03/05/2024,$179.16,5309903,$177.79,$179.59,$177.79
03/04/2024,$177.05,4723582,$178.35,$179.98,$176.28
03/01/2024,$178.91,4028935,$176.05,$179.19,$175.75
02/29/2024,$176.05,7485722,$177.865,$178.02,$175.39
02/28/2024,$178.00,4326102,$179.85,$179.89,$176.89
02/27/2024,$178.99,3888566,$178.77,$179.53,$176.98
02/26/2024,$178.81,4327400,$178.84,$179.79,$178.00
02/23/2024,$178.09,3941923,$177.26,$178.905,$177.011
02/22/2024,$176.75,4852394,$174.78,$177.34,$173.14
02/21/2024,$175.14,3819124,$176.29,$176.625,$173.50
02/20/2024,$175.75,5484327,$175.83,$178.68,$175.52
02/16/2024,$177.49,6689902,$176.89,$178.92,$176.07
02/15/2024,$176.59,5276243,$174.02,$176.735,$173.81
02/14/2024,$174.42,4348610,$173.06,$174.86,$172.68
02/13/2024,$173.29,5480551,$174.46,$175.20,$171.965
02/12/2024,$173.07,3477198,$173.54,$174.76,$172.23
02/09/2024,$174.08,3502661,$175.07,$175.40,$173.05
02/08/2024,$174.79,5709326,$174.35,$175.91,$174.30
02/07/2024,$175.01,6409084,$174.01,$175.56,$173.32
02/06/2024,$173.29,7038000,$171.65,$173.96,$169.77
02/05/2024,$171.26,6486886,$169.84,$173.13,$168.45
02/02/2024,$168.67,7870521,$169.42,$172.85,$165.23
02/01/2024,$167.59,5584434,$163.70,$167.68,$162.67
01/31/2024,$164.40,4994053,$165.75,$165.8599,$163.95
01/30/2024,$164.92,3819615,$164.22,$164.98,$163.26
01/29/2024,$163.91,4704269,$165.85,$166.76,$163.68
01/26/2024,$164.40,4654408,$165.27,$165.86,$163.50
01/25/2024,$165.13,4465939,$164.00,$165.21,$163.20
01/24/2024,$164.22,5422244,$167.77,$167.95,$164.06
01/23/2024,$167.50,5784885,$164.45,$167.53,$164.06
01/22/2024,$165.39,4864044,$164.44,$165.45,$163.76
01/19/2024,$164.77,5863150,$163.91,$164.87,$162.60
01/18/2024,$163.30,5074330,$161.16,$163.655,$161.00
01/17/2024,$162.04,4423158,$161.75,$162.9497,$161.52
