Date,Close/Last,Volume,Open,High,Low
11/22/2024,$76.06,2853063,$75.80,$76.92,$75.63
11/21/2024,$75.98,4108036,$74.66,$76.24,$74.53
11/20/2024,$74.66,3998299,$75.54,$75.65,$74.54
11/19/2024,$75.30,3145101,$75.39,$75.68,$74.78
11/18/2024,$76.31,3277399,$75.58,$76.54,$75.42
11/15/2024,$75.77,5524165,$75.89,$76.86,$75.38
11/14/2024,$75.75,3285859,$76.25,$76.43,$75.42
11/13/2024,$76.09,4302348,$74.82,$76.22,$74.71
11/12/2024,$74.86,3900085,$75.24,$75.70,$74.71
11/11/2024,$75.38,4795440,$76.22,$77.31,$75.32
11/08/2024,$75.58,6826259,$77.19,$77.19,$75.13
11/07/2024,$76.59,5037462,$76.53,$77.12,$75.8623
11/06/2024,$77.02,7202860,$78.78,$79.29,$75.31
11/05/2024,$75.39,6643029,$75.74,$77.02,$74.18
11/04/2024,$76.33,4528429,$75.84,$76.61,$75.50
11/01/2024,$75.72,3416299,$75.86,$76.99,$75.635
10/31/2024,$75.88,3509196,$76.67,$77.36,$75.87
10/30/2024,$76.84,2763461,$76.99,$77.99,$76.75
10/29/2024,$76.66,2772470,$77.41,$77.735,$76.63
10/28/2024,$77.48,3390019,$77.44,$78.02,$77.325
10/25/2024,$76.82,3147983,$78.01,$78.02,$76.29
10/24/2024,$77.68,2025219,$77.83,$77.90,$76.96
10/23/2024,$77.43,2485524,$77.00,$77.58,$76.71
10/22/2024,$77.03,2872498,$76.81,$77.37,$76.285
10/21/2024,$77.55,2291210,$78.55,$78.81,$77.36
10/18/2024,$78.55,2658652,$79.49,$79.77,$78.16
10/17/2024,$79.19,5200626,$78.50,$79.25,$77.705
10/16/2024,$77.14,3144946,$77.20,$77.70,$76.68
10/15/2024,$76.98,3340495,$77.28,$77.99,$76.62
10/14/2024,$77.62,2623935,$77.47,$77.93,$77.24
10/11/2024,$77.23,4322931,$76.56,$77.89,$76.56
10/10/2024,$76.53,3434245,$77.39,$77.45,$76.07
10/09/2024,$75.60,2499064,$74.42,$75.86,$74.38
10/08/2024,$74.63,3551727,$73.92,$75.0113,$73.76
10/07/2024,$73.64,5019097,$75.36,$75.67,$73.41
10/04/2024,$76.05,4193428,$73.12,$76.165,$72.79
10/03/2024,$72.34,3303759,$72.32,$72.56,$71.47
10/02/2024,$72.45,3004396,$72.67,$73.02,$72.165
10/01/2024,$72.72,3619818,$72.96,$73.17,$72.19
09/30/2024,$73.23,3475432,$73.31,$73.315,$72.18
09/27/2024,$73.34,2851655,$73.23,$74.085,$72.82
09/26/2024,$73.12,2578908,$73.03,$73.62,$72.85
09/25/2024,$73.02,2789954,$74.01,$74.43,$72.98
09/24/2024,$73.42,4821057,$73.84,$74.24,$73.295
09/23/2024,$74.30,3770482,$73.97,$74.52,$73.64
09/20/2024,$73.76,15499810,$73.45,$73.94,$73.07
09/19/2024,$73.89,5346638,$74.30,$74.65,$73.13
09/18/2024,$73.30,3648069,$73.71,$74.105,$73.08
09/17/2024,$73.60,2675948,$73.04,$74.02,$73.00
09/16/2024,$73.00,4081558,$73.30,$73.7443,$72.77
09/13/2024,$73.11,3661679,$73.49,$73.82,$72.335
09/12/2024,$73.18,2814336,$72.42,$73.20,$71.84
09/11/2024,$72.16,3441619,$72.17,$72.28,$71.05
09/10/2024,$72.31,4717074,$73.07,$73.10,$71.01
09/09/2024,$72.82,5544492,$72.51,$73.23,$71.93
09/06/2024,$71.91,7205390,$73.71,$74.74,$71.27
09/05/2024,$73.84,5059401,$77.24,$77.24,$73.53
09/04/2024,$76.69,3128542,$76.39,$76.78,$76.04
09/03/2024,$76.03,3440562,$76.75,$77.35,$75.59
08/30/2024,$77.05,4385393,$76.37,$77.105,$75.90
08/29/2024,$76.12,2435127,$75.88,$76.55,$75.07
08/28/2024,$75.52,2386212,$74.25,$75.77,$74.21
08/27/2024,$74.43,2628387,$74.98,$75.06,$74.37
08/26/2024,$74.61,2552857,$75.55,$75.96,$74.54
08/23/2024,$75.32,2387656,$75.40,$75.58,$74.64
08/22/2024,$74.76,2726441,$74.50,$75.06,$74.41
08/21/2024,$74.35,2823332,$73.94,$74.42,$73.495
08/20/2024,$73.88,2672348,$74.25,$74.46,$73.77
