Date,Close/Last,Volume,Open,High,Low
11/22/2024,$149.29,13353080,$143.61,$150.339,$143.49
11/21/2024,$143.41,7845135,$146.39,$146.42,$141.34
11/20/2024,$146.08,9232114,$146.04,$147.30,$145.0201
11/19/2024,$145.60,8247289,$143.00,$145.99,$142.6901
11/18/2024,$143.87,12259930,$140.255,$144.69,$138.20
11/15/2024,$140.19,12120100,$138.14,$140.3247,$137.03
11/14/2024,$138.14,15646710,$140.80,$141.55,$137.22
11/13/2024,$139.97,21249600,$145.58,$145.58,$139.10
11/12/2024,$145.17,16746650,$148.40,$148.50,$143.85
11/11/2024,$148.96,12799080,$152.00,$152.50,$148.07
11/08/2024,$151.68,12996810,$151.12,$152.60,$149.43
11/07/2024,$150.98,14709240,$148.80,$152.80,$148.03
11/06/2024,$147.16,28069290,$152.30,$153.20,$144.13
11/05/2024,$151.00,23126640,$157.47,$157.66,$150.65
11/04/2024,$155.07,10290390,$154.62,$156.72,$152.46
11/01/2024,$154.59,18894510,$152.78,$156.00,$151.23
10/31/2024,$149.31,29388200,$154.31,$154.48,$147.88
10/30/2024,$154.29,50738360,$152.51,$156.91,$152.51
10/29/2024,$152.98,66387680,$147.86,$155.99,$147.58
10/28/2024,$150.69,20992480,$153.50,$155.20,$150.61
10/25/2024,$155.01,8152969,$156.20,$157.48,$154.5202
10/24/2024,$155.20,9774355,$152.61,$155.89,$151.98
