Date,Close/Last,Volume,Open,High,Low
11/22/2024,$47.00,37996160,$46.37,$47.22,$46.28
11/21/2024,$46.46,45336460,$46.39,$47.05,$46.30
11/20/2024,$46.06,28021050,$46.57,$46.64,$45.92
11/19/2024,$46.41,28534100,$45.99,$46.615,$45.95
11/18/2024,$46.72,32371770,$46.75,$47.02,$46.485
11/15/2024,$46.75,40488860,$45.62,$46.84,$45.62
11/14/2024,$45.90,35733070,$45.95,$46.16,$45.73
11/13/2024,$45.87,36903860,$46.20,$46.48,$45.83
11/12/2024,$45.86,38155890,$46.14,$46.45,$45.84
11/11/2024,$46.08,43293530,$45.60,$46.5175,$45.58
11/08/2024,$45.13,38331810,$45.14,$45.50,$44.945
11/07/2024,$44.77,48339730,$45.04,$45.23,$44.505
11/06/2024,$45.41,110086700,$44.80,$45.55,$44.00
11/05/2024,$41.88,30851410,$41.51,$42.01,$41.375
11/04/2024,$41.33,31110090,$41.61,$42.02,$41.11
11/01/2024,$41.76,31220000,$42.15,$42.43,$41.75
10/31/2024,$41.82,28138240,$42.29,$42.55,$41.80
10/30/2024,$42.31,38100540,$41.71,$42.90,$41.64
10/29/2024,$42.53,22313520,$42.59,$42.81,$42.47
10/28/2024,$42.62,24527600,$42.07,$42.745,$42.005
10/25/2024,$41.89,27466910,$42.92,$42.98,$41.785
10/24/2024,$42.65,28392010,$42.32,$42.66,$41.97
10/23/2024,$42.34,28569350,$42.20,$42.47,$42.0199
10/22/2024,$42.30,37104410,$41.65,$42.405,$41.57
10/21/2024,$41.76,26589500,$42.25,$42.41,$41.74
10/18/2024,$42.32,30593530,$42.43,$42.645,$42.11
10/17/2024,$42.60,31708560,$42.83,$43.00,$42.465
10/16/2024,$42.80,42437820,$42.21,$43.10,$42.145
10/15/2024,$42.14,61489990,$43.225,$43.3615,$42.05
10/14/2024,$41.91,28098950,$41.96,$42.1799,$41.72
10/11/2024,$41.95,50660740,$40.50,$42.17,$40.40
10/10/2024,$39.97,26182260,$40.01,$40.13,$39.77
10/09/2024,$40.19,27421000,$39.87,$40.385,$39.72
10/08/2024,$39.93,26023650,$40.05,$40.145,$39.805
10/07/2024,$39.96,27177530,$40.21,$40.435,$39.71
10/04/2024,$40.11,34255930,$39.93,$40.25,$39.615
10/03/2024,$39.25,26030230,$38.98,$39.27,$38.725
10/02/2024,$39.23,23302750,$39.25,$39.54,$39.045
10/01/2024,$39.22,26291190,$39.51,$39.56,$38.94
